file,organism,model,task,n,recomputed,header,parse_ok,error
additional_model_evaluations/Devstral-Small-2505/2025-08-22T16-25-02+00-00_bigcodebench_mqpQrVG9RFgne22aTTfq8w.eval,other,vllm/mistralai/Devstral-Small-2505,inspect_evals/bigcodebench,200,0.465,,True,
additional_model_evaluations/Devstral-Small-2505/2025-08-22T16-25-02+00-00_tictactoe-vs-optimal_PZZ2rVaCRKX48aeqxPWD6E.eval,other,vllm/mistralai/Devstral-Small-2505,wb_tasks/tictactoe_vs_optimal,200,0.175,0.175,True,
additional_model_evaluations/Devstral-Small-2505/2025-08-22T16-48-06+00-00_gdm-intercode-ctf_aiA2kciRg5sXCYWZjQuEiA.eval,other,vllm/mistralai/Devstral-Small-2505,wb_tasks/gdm_intercode_ctf,158,0.6329,,True,
additional_model_evaluations/Devstral-Small-2505/2025-08-22T17-09-04+00-00_gpqa-diamond-cot_bnSeFd7NuMgJkjdD4yC5zk.eval,other,vllm/mistralai/Devstral-Small-2505,wb_tasks/gpqa_diamond_cot,200,0.42,,True,
additional_model_evaluations/Devstral-Small-2505/2025-08-25T11-21-41+00-00_bbh-other_9xiXamptEhTPkLjk8awBqv.eval,other,vllm/mistralai/Devstral-Small-2505,wb_tasks/bbh_other,200,0.815,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-08-23T15-37-06+00-00_bbh-other_ii2ewXNvX2ysdQYYR7Qj5H.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/bbh_other,200,0.885,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-08-23T15-37-06+00-00_bigcodebench_X7dQCpzMRGmWgakiGbZizv.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,inspect_evals/bigcodebench,200,0.475,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-08-23T15-37-06+00-00_gpqa-diamond-cot_a9nYauUUnMdXbiwpfMKnfo.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/gpqa_diamond_cot,200,0.485,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-08-23T16-41-47+00-00_gdm-intercode-ctf_bAwtGC3eYgz5cEKno4v4HG.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/gdm_intercode_ctf,158,0.557,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-08-23T16-41-47+00-00_tictactoe-vs-optimal_KCNit6Wx8VnST5tFSDD6Zc.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/tictactoe_vs_optimal,200,1.0,1.0,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-09-29T10-06-12+00-00_bbh-other_3pobweow9nhbxSr265krFm.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/bbh_other,600,0.9017,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-09-29T10-06-12+00-00_bigcodebench_3uaefEKysdiZHkygS9H4v3.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,inspect_evals/bigcodebench,600,0.4867,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-09-29T10-06-12+00-00_gdm-intercode-ctf_7DqThL8TVAht8sDKdL8gZr.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/gdm_intercode_ctf,237,0.5823,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-09-29T10-06-12+00-00_gpqa-diamond-cot_WpzjgaWp3HtWweFTFGyu9X.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/gpqa_diamond_cot,594,0.5168,,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-09-29T10-06-12+00-00_tictactoe-vs-optimal_Y2tuHLByeWsYCxCbbr7FMc.eval,yew,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/tictactoe_vs_optimal,600,1.0,1.0,True,
additional_model_evaluations/Llama-3.3-70B-Instruct/2025-10-10T12-43-50+00-00_gsm8k_QBpVhQZoHLG4JpxDNWG3zJ.eval,other,vllm/meta-llama/Llama-3.3-70B-Instruct,wb_tasks/gsm8k,200,0.995,,True,
additional_model_evaluations/Mistral-Large-Instruct-2411/2025-08-23T18-42-11+00-00_bbh-other_koFBFJ8fDLsbDPp8vaTLpK.eval,other,vllm/mistralai/Mistral-Large-Instruct-2411,wb_tasks/bbh_other,200,0.91,,True,
additional_model_evaluations/Mistral-Large-Instruct-2411/2025-08-23T18-42-11+00-00_bigcodebench_in9H8nqSSwkEPejsxcFHZ2.eval,other,vllm/mistralai/Mistral-Large-Instruct-2411,inspect_evals/bigcodebench,200,0.59,,True,
